Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_005116735.1	ASM511673v1	Thalassotalea mangrovi	3259
GCF_016306625.1	ASM1630662v1	Xenorhabdus lircayensis	3979
GCF_024199005.1	ASM2419900v1	Opacimonas viscosa	2826
GCF_019890725.1	ASM1989072v1	Actinacidiphila acidipaludis	7502
GCF_003862495.1	ASM386249v1	Halocatena pleomorpha	3635
GCF_000621965.1	ASM62196v1	Methanobrevibacter wolinii SH	1762
GCF_028745515.1	ASM2874551v1	Paenibacillus thermotolerans	5273
GCF_006385785.1	ASM638578v1	Streptococcus shenyangsis	1954
GCF_014145555.1	ASM1414555v1	Limosilactobacillus albertensis	2378
GCF_006491995.1	ASM649199v1	Metamycoplasma neophronis	620
GCF_002591975.1	ASM259197v1	Mycobacterium neglectum	6119
GCF_001403795.1	J.donghaensisCECT7802_Velvet_Prokka	Jannaschia donghaensis	3588
GCF_004353915.1	ASM435391v1	Paraburkholderia silviterrae	8197
GCF_014836445.1	ASM1483644v1	Cellulomonas avistercoris	3781
GCF_025517535.1	ASM2551753v1	Halapricum hydrolyticum	3397
GCF_900107815.1	IMG-taxon 2642422588 annotated assembly	Eubacterium aggregans	2814
GCF_001015055.1	ASM101505v1	Aneurinibacillus tyrosinisolvens	6095
GCF_000763315.1	ASM76331v1	Thermoactinomyces daqus	3657
GCF_016595505.1	ASM1659550v1	Pelagicoccus mobilis	5627
GCF_004117855.1	ASM411785v1	Modicisalibacter coralii	4181
GCF_015024225.1	ASM1502422v1	Nocardioides lijunqiniae	4622
GCF_000702725.1	ASM70272v1	Mesoplasma photuris ATCC 49581	732
GCF_003609645.1	ASM360964v1	Thermohalobacter berrensis	2742
GCF_019218685.1	ASM1921868v1	Streptococcus vulneris	1922
GCF_905120465.1	LMG 7974	Campylobacter majalis	1999
GCF_019798055.1	AS10	Salsipaludibacter albus	3747
GCF_016863395.1	ASM1686339v1	Sphaerisporangium rufum	7060
GCF_000687145.1	TheAqu1.0	Thermoanaerobaculum aquaticum	2435
GCF_004912155.1	ASM491215v1	Glycomyces paridis	5055
GCF_022678645.1	ASM2267864v1	Saccharopolyspora soli	8915
GCF_017948595.1	ASM1794859v1	Flavobacterium geliluteum	3854
GCF_004343705.1	ASM434370v1	Flaviaesturariibacter aridisoli	3791
GCF_017315345.1	ASM1731534v1	Streptococcus vaginalis	2146
GCF_001435375.1	ASM143537v1	Ligilactobacillus araffinosus DSM 20653	1469
GCF_017874425.1	ASM1787442v1	Clostridium punense	4309
GCF_004403395.1	ASM440339v1	Cryobacterium cheniae	3034
GCF_011602385.1	ASM1160238v1	Chromobacterium fluminis	5482
GCF_016862395.1	ASM1686239v1	Actinoplanes siamensis	7583
GCF_900099675.1	IMG-taxon 2675903217 annotated assembly	Myroides phaeus	2624
GCF_003987495.1	ASM398749v1	Vagococcus salmoninarum	2969
GCF_014655955.1	ASM1465595v1	Kitasatospora indigofera	8068
GCF_014297245.1	ASM1429724v1	Blautia difficilis	3472
GCF_000787375.1	ASM78737v1	Halalkalibacter okhensis	5003
GCF_005404815.1	ASM540481v1	Companilactobacillus huachuanensis	2700
GCF_017592335.1	ASM1759233v1	Pseudaestuariivita rosea	3983
GCF_003725335.1	ASM372533v1	Parvibacter caecicola	2039
GCF_039539545.1	ASM3953954v1	Hymenobacter antarcticus	4292
GCF_002104675.1	ASM210467v1	Mycobacterium decipiens	4785
GCF_006861675.1	ASM686167v1	Peptacetobacter hominis	2055
GCF_022695515.1	ASM2269551v1	Phenylobacterium aquaticum	5280
GCF_030160855.1	ASM3016085v1	Marinibactrum halimedae	4078
GCF_001996005.1	ASM199600v1	Salinivibrio siamensis	3196
GCF_042685285.1	ASM4268528v1	Piscibacillus salipiscarius	3231
GCF_033898585.1	ASM3389858v1	Gilvimarinus gilvus	3986
GCF_030433435.1	ASM3043343v1	Polycladomyces subterraneus	3370
GCF_018448965.1	ASM1844896v1	Photorhabdus hainanensis	4897
GCF_900172235.1	Ps.aquimaris_CECT7680_Spades_Prokka	Pseudoruegeria aquimaris	3712
GCF_016734815.1	ASM1673481v1	Hymenobacter rubidus	4603
GCF_039615075.1	ASM3961507v1	Sinomonas halotolerans	3238
GCF_004337475.1	ASM433747v1	Nocardioides jejuensis	3262
GCF_002081715.1	ASM208171v1	Nocardia donostiensis	5232
GCF_900094835.1	IMG-taxon 2615840608 annotated assembly	Weissella bombi	1829
GCF_000821245.2	ASM82124v2	Virgibacillus senegalensis	3927
GCF_900343085.1	PRJEB23931	Aedoeadaptatus coli	1905
GCF_008304605.1	ASM830460v1	Oceanobacillus polygoni	4448
GCF_008107635.1	ASM810763v1	Weissella muntiaci	2357
GCF_014648015.1	ASM1464801v1	Butyricicoccus faecihominis	2955
GCF_020312315.1	ASM2031231v1	Streptomyces solaniscabiei	7645
GCF_009755355.1	ASM975535v1	Deinococcus arboris	4554
GCF_016908855.1	ASM1690885v1	Scopulibacillus daqui	3317
GCF_013303125.1	ASM1330312v1	Calidifontibacillus erzurumensis	3410
GCF_017571465.1	ASM1757146v1	Thiomicrorhabdus marina	2642
GCF_016461795.1	ASM1646179v1	Rhodomicrobium udaipurense	3392
GCF_001999305.1	ASM199930v1	Rodentibacter myodis	2427
GCF_003950315.1	Vagococcus bubulae SS1994T	Vagococcus bubulae	2462
GCF_004102745.1	ASM410274v1	Acetivibrio mesophilus	3511
GCF_024436055.1	ASM2443605v1	Streptantibioticus rubrisoli	6624
GCF_020908015.1	ASM2090801v1	Clostridium aromativorans	3804
GCF_003173335.1	ASM317333v1	Methanospirillum stamsii	3639
GCF_008033445.1	ASM803344v1	Vulcaniibacterium gelatinicum	2544
GCF_006503695.1	ASM650369v1	Tepidiphilus succinatimandens	2369
GCF_008274215.1	ASM827421v1	Calorimonas adulescens	2670
GCF_022271405.1	ASM2227140v1	Rhodopseudomonas infernalis	5068
GCF_000771685.1	DSM-23975	Bifidobacterium reuteri DSM 23975	2245
GCF_900110485.1	IMG-taxon 2634166332 annotated assembly	Propionispora vibrioides	4201
GCF_000525995.1	PRIP_MIRA_assembly	Listeria riparia FSL S10-1204	3295
GCF_030164465.1	ASM3016446v1	Sedimentitalea xiamensis	4657
GCF_023701485.1	ASM2370148v1	Aporhodopirellula aestuarii	6468
GCF_041020755.1	ASM4102075v1	Kineococcus terrestris	4015
GCF_031846245.1	ASM3184624v1	Banduia mediterranea	3716
GCF_003946395.1	ASM394639v1	Levilactobacillus fuyuanensis	2536
GCF_031432425.1	ASM3143242v1	Ruixingdingia sedimenti	4699
GCF_003385185.1	ASM338518v1	Amycolatopsis palatopharyngis	6806
GCF_900094945.1	IMG-taxon 2617270739 annotated assembly	Gilliamella bombicola	2142
GCF_003946625.1	ASM394662v1	Companilactobacillus kedongensis	2236
GCF_000738775.1	ASM73877v1	Prescottella defluvii	4884
GCF_003024675.1	ASM302467v1	Faecalibacillus faecis	2724
GCF_039539525.1	ASM3953952v1	Hymenobacter algoricola	4227
GCF_020687175.1	ASM2068717v1	Veillonella fallax	1914
GCF_025907915.1	ASM2590791v1	Gaoshiqia sediminis	4082
GCF_014349155.1	ASM1434915v1	Neolewinella lacunae	4410
GCF_005047355.1	ASM504735v1	Actinacidiphila oryziradicis	11386
GCF_009829075.1	ASM982907v1	Sphingobacterium composti	3251
GCF_013328345.1	ASM1332834v1	Marinifaba aquimaris	3844
GCF_000739575.1	ASM73957v1	Halobellus rufus	3945
GCF_025060755.1	ASM2506075v1	Paenibacillus doosanensis	6764
GCF_002217285.1	ASM221728v1	Flavobacterium hercynium	4517
GCF_900182725.1	IMG-taxon 2724679730 annotated assembly	Thalassovita litoralis	4102
GCF_009362815.1	ASM936281v1	Alkalibaculum sporogenes	3405
GCF_023242945.1	ASM2324294v1	Frankia umida	5260
GCF_004682055.1	ASM468205v1	Pseudomonas kairouanensis	6203
GCF_003385555.1	ASM338555v1	Rhodosalinus sediminis	3125
GCF_023333595.1	ASM2333359v1	Argonema galeatum A003/A1	6449
GCF_009718825.1	ASM971882v1	Terrilactibacillus tamarindi	3153
GCF_900007165.1	BN2476-7183	Paraburkholderia piptadeniae	9094
GCF_030657435.1	ASM3065743v1	Paracraurococcus lichenis	8361
GCF_000775615.1	ASM77561v1	Pontibacillus litoralis JSM 072002	3257
GCF_000327285.1	ASM32728v1	Holdemania massiliensis AP2	3512
GCF_000621325.1	ASM62132v1	Thiothrix lacustris DSM 21227	3655
GCF_019904135.1	ASM1990413v1	Paenibacillus caui	4306
GCF_010119385.1	ASM1011938v1	Nesterenkonia haasae	3286
GCF_001467025.1	ASM146702v1	Legionella brunensis	3371
GCF_900111355.1	IMG-taxon 2634166323 annotated assembly	Isobaculum melis	2774
GCF_003602235.1	ASM360223v1	Cryobacterium melibiosiphilum	4453
GCF_017114825.1	ASM1711482v1	Pseudomonas gregormendelii	5412
GCF_000802235.1	ASM80223v1	Sinomonas humi	4209
GCF_004331155.1	ASM433115v1	Acinetobacter terrestris	3193
GCF_018390735.1	ASM1839073v1	Fusibacter paucivorans	3913
GCF_025780055.1	ASM2578005v1	Ureaplasma zalophigenitalium	658
GCF_004793975.1	ASM479397v1	Lepagella muris	4094
GCF_040096475.1	ASM4009647v1	Faecalibacterium faecis	2633
GCF_008014345.1	ASM801434v1	Pelomicrobium methylotrophicum	3371
GCF_036246225.1	ASM3624622v1	Lacticaseibacillus salsurivasis	2583
GCF_019249625.1	ASM1924962v1	Hydrotalea lipotrueae	3099
GCF_001189845.1	ASM118984v1	Bradyrhizobium tropiciagri	9164
GCF_900103735.1	IMG-taxon 2595698204 annotated assembly	Algoriphagus alkaliphilus	4333
GCF_015278125.1	ASM1527812v1	Vibrio fluminensis	4447
GCF_013377885.1	ASM1337788v1	Hymenobacter lapidiphilus	4098
GCF_017498075.1	ASM1749807v1	Psychrobacter halodurans	2398
GCF_900232995.1	PRJEB22891	Mycobacterium simulans	5603
GCF_000620045.1	ASM62004v1	Halomonas halodenitrificans DSM 735	3235
GCF_003002895.1	ASM300289v1	Knoellia remsis	3425
GCF_021295095.1	ASM2129509v1	Phocaeicola oris	2509
GCF_900104445.1	IMG-taxon 2596583525 annotated assembly	Desulforhopalus singaporensis	4419
GCF_003851885.1	ASM385188v1	Thermaurantimonas aggregans	2319
GCF_002934685.1	ASM293468v1	Pseudomonas bohemica	6008
GCF_003946575.1	ASM394657v1	Companilactobacillus jidongensis	2719
GCF_009834785.1	ASM983478v1	Natronorubrum halalkaliphilum	4402
GCF_000812685.1	S20958	Halocynthiibacter namhaensis	3578
GCF_943193105.1	Limosilactobacillus_sp_nov2_DSM106037	Limosilactobacillus agrestimuris	1881
GCF_001399675.1	ASM139967v1	Alicyclobacillus ferrooxydans	4758
GCF_001921205.1	ASM192120v1	Actinophytocola xanthii	7690
GCF_000745855.1	ASM74585v1	Xenophilus azovorans DSM 13620	6417
GCF_002895565.1	ASM289556v1	Petrotoga mexicana DSM 14811	2018
GCF_016909015.1	ASM1690901v1	Gracilibacillus alcaliphilus	4842
GCF_014138385.1	ASM1413838v1	Fontibacillus solani	5291
GCF_027922405.1	ASM2792240v1	Dactylosporangium matsuzakiense	11009
GCF_014280935.1	ASM1428093v1	Aquibacillus kalidii	4251
GCF_023898865.1	ASM2389886v1	Pseudonocardia humida	8036
GCF_943193005.1	Eubacteriales_fam_nov_CLA_AA_M10	Pumilibacter intestinalis	2104
GCF_039531875.1	ASM3953187v1	Sinomonas flava	3730
GCF_009848505.1	ASM984850v1	Roseomonas harenae	5098
GCF_000733865.1	ASM73386v1	Mycoplasma buteonis	694
GCF_022602565.1	ASM2260256v1	Rosenbergiella metrosideri	3327
GCF_003725995.1	ASM372599v1	Slackia equolifaciens	2234
GCF_001050195.2	ASM105019v2	Anaerolinea thermolimosa	3733
GCF_002864685.1	ASM286468v1	Alloalcanivorax mobilis	3784
GCF_003096695.1	ASM309669v1	Porphyromonas loveana	1928
GCF_900111985.1	IMG-taxon 2634166358 annotated assembly	Clostridium frigidicarnis	3985
GCF_009371975.2	ASM937197v2	Microcella pacifica	2687
GCF_042646465.1	ASM4264646v1	Undibacterium arcticum	5312
GCF_004519545.1	ASM451954v1	Nocardioides guangzhouensis	5081
GCF_039538805.1	ASM3953880v1	Salinicoccus jeotgali	2402
GCF_900111595.1	IMG-taxon 2606217760 annotated assembly	[Clostridium] polysaccharolyticum	3105
GCF_900109885.1	IMG-taxon 2634166346 annotated assembly	Syntrophus gentianae	3392
GCF_020295405.1	ASM2029540v1	Sphingobacterium bovistauri	3443
GCF_017052595.1	ASM1705259v1	Mycoplasma procyoni	841
GCF_017874395.1	ASM1787439v1	Peptoniphilus stercorisuis	1781
GCF_042432825.1	ASM4243282v1	Paenibacillus chartarius	6135
GCF_001643235.1	ASM164323v1	Domibacillus aminovorans	3929
GCF_019104725.1	ASM1910472v1	Streptomyces corallincola	5632
GCF_039524575.1	ASM3952457v1	Saccharopolyspora spinosporotrichia	7340
GCF_028610705.1	ASM2861070v1	Halalkalibacter alkalisediminis	5278
GCF_040096205.1	ASM4009620v1	Solibaculum intestinale	2728
GCF_035798155.1	ASM3579815v1	Streptomyces endophyticus	8747
GCF_020907245.1	ASM2090724v1	Pontibacter harenae	4120
GCF_039541035.1	ASM3954103v1	Anaerocolumna aminovalerica	4075
GCF_917563885.1	JJ-79	Pseudoneobacillus rhizosphaerae	4648
GCF_009192995.1	ASM919299v1	Sulfurimonas indica	2189
GCF_000741575.1	Bifcun	Bifidobacterium cuniculi	2317
GCF_000974985.2	ASM97498v2	Streptomyces mangrovisoli	8005
GCF_023701525.1	ASM2370152v1	Streptomyces albipurpureus	8104
GCF_020819555.1	ASM2081955v1	Pelosinus baikalensis	5192
GCF_900142255.1	IMG-taxon 2667527379 annotated assembly	Alicyclobacillus montanus	3092
GCF_025370265.1	ASM2537026v1	Shewanella septentrionalis	4576
GCF_001984715.1	ASM198471v1	Streptococcus azizii	2069
GCF_001038485.1	ASM103848v1	Ornithinibacillus californiensis	4117
GCF_014652395.1	ASM1465239v1	Advenella faeciporci	2965
GCF_025567215.1	ASM2556721v1	Huintestinicola butyrica	2938
GCF_015472005.1	ASM1547200v1	Insulibacter thermoxylanivorax	2902
GCF_020523605.1	ASM2052360v1	Roseicella aerolata	5694
GCF_001597725.1	ASM159772v1	Neptuniibacter marinus	3298
GCF_004564235.1	ASM456423v1	Cohnella luojiensis	4834
GCF_001885585.1	ASM188558v1	Pararhizobium antarcticum	5285
GCF_001968835.1	ASM196883v1	Tersicoccus phoenicis	3109
GCF_031845405.1	ASM3184540v1	Streptomyces boetiae	5575
GCF_004634215.1	ASM463421v1	Deinococcus fonticola	3907
GCF_030813795.1	ASM3081379v1	Desulfofundulus luciae	2969
GCF_000285835.1	ASM28583v2	Brevibacterium senegalense	3139
GCF_020443705.1	ASM2044370v1	Clostridium algoriphilum	4507
GCF_021343995.1	ASM2134399v1	Pseudonocardia terrae	6983
GCF_002869765.1	ASM286976v1	Deinococcus planocerae	4321
GCF_008630065.1	ASM863006v1	Blastochloris sulfoviridis	3424
GCF_016862955.1	ASM1686295v1	Rhizocola hellebori	9965
GCF_004345705.1	ASM434570v1	Marinisporobacter balticus	3783
GCF_001596815.1	ASM159681v1	Pseudoalteromonas spiralis	3888
GCF_034928825.1	ASM3492882v1	Arcicella aquatica	5029
GCF_003201855.1	ASM320185v1	Rivihabitans pingtungensis	3393
GCF_040096515.1	ASM4009651v1	Faecalibacterium tardum	3026
GCF_036246185.1	ASM3624618v1	Lactiplantibacillus paraxiangfangensis	3046
GCF_014640555.1	ASM1464055v1	Paenibacillus marchantiophytorum	7345
GCF_014656545.1	ASM1465654v1	Neobacillus kokaensis	5272
GCF_009755265.1	ASM975526v1	Adlercreutzia rubneri	2407
GCF_016863655.1	ASM1686365v1	Virgisporangium ochraceum	10615
GCF_900102435.1	IMG-taxon 2599185233 annotated assembly	Sporolituus thermophilus DSM 23256	2944
GCF_900142445.1	IMG-taxon 2700988715 annotated assembly	Chryseobacterium polytrichastri	4633
GCF_016106035.1	ASM1610603v1	Arcobacter vandammei	2295
GCF_003581585.1	ASM358158v1	Bacillus salacetis	4797
GCF_034335085.1	ASM3433508v1	Acutalibacter caecimuris	3485
GCF_005405125.1	ASM540512v1	Lactiplantibacillus songbeiensis	2804
GCF_000621145.1	ASM62114v1	Desulfobulbus elongatus DSM 2908	3656
GCF_004364155.1	ASM436415v1	Fonticella tunisiensis	3076
GCF_001436755.1	ASM143675v1	Liquorilactobacillus aquaticus DSM 21051	2284
GCF_001447195.1	ASM144719v1	Aquabacterium parvum	4278
GCF_902150025.1	PRJEB33160	Bartonella massiliensis	1934
GCF_001618145.1	ASM161814v1	Oceanobacillus damuensis	4011
GCF_007668225.1	ASM766822v1	Cereibacter sediminicola	4157
GCF_018448885.1	ASM1844888v1	Photorhabdus caribbeanensis	4749
GCF_031451755.1	ASM3145175v1	Vreelandella vilamensis	3242
GCF_900101495.1	IMG-taxon 2599185223 annotated assembly	Alkaliphilus peptidifermentans DSM 18978	4341
GCF_017599325.1	ASM1759932v1	Marinilactibacillus kalidii	2543
GCF_014197795.1	ASM1419779v1	Roseospira goensis	3689
GCF_900188345.1	IMG-taxon 2671180041 annotated assembly	Streptosporangium subroseum	9621
GCF_016918545.1	ASM1691854v1	Desulfobulbus alkaliphilus	3792
GCF_000455365.1	HdjelfamassiliensisIIH2	Halopiger djelfimassiliensis	3790
GCF_016862875.1	ASM1686287v1	Planosporangium flavigriseum	5404
GCF_003315615.1	ASM331561v1	Bifidobacterium xylocopae	1578
GCF_003205875.1	ASM320587v1	Herpetosiphon llansteffanensis	5285
GCF_902141855.1	SW08-7	Methylobacterium dankookense	5998
GCF_003710935.1	ASM371093v1	Brevibacillus gelatini	4613
GCF_016862215.1	ASM1686221v1	Winogradskya humida	10026
GCF_036663575.1	ASM3666357v1	Halalkalibacter flavus	5163
GCF_027587175.1	ASM2758717v1	Solirubrobacter deserti	6869
GCF_014646615.1	ASM1464661v1	Anoxybacteroides voinovskiense	3524
GCF_007993045.1	ASM799304v1	Phaeodactylibacter luteus	4544
GCF_009711185.1	ASM971118v1	Paracoccus limosus	3847
GCF_009469695.1	ASM946969v1	Propionivibrio limicola	2955
GCF_022760925.1	ASM2276092v1	Thermus hydrothermalis	2548
GCF_003003275.1	ASM300327v1	Alkalibacterium olivapovliticus	2741
GCF_001870485.1	ASM187048v1	Oceanisphaera psychrotolerans	3647
GCF_042676125.1	ASM4267612v1	Oceanisphaera ostreae	3233
GCF_026013615.1	ASM2601361v1	Plebeiobacterium marinum	4306
GCF_900142005.1	IMG-taxon 2585428150 annotated assembly	Dethiosulfatibacter aminovorans DSM 17477	3667
GCF_014652715.1	ASM1465271v1	Salinicola rhizosphaerae	3839
GCF_024808815.1	ASM2480881v1	Methanosalsum natronophilum	2048
GCF_011742165.1	ASM1174216v1	Billgrantia bachuensis	4454
GCF_937468385.1	JJ-3	Neobacillus rhizosphaerae	4969
GCF_001434555.1	ASM143455v1	Amylolactobacillus amylotrophicus DSM 20534	1611
GCF_013376105.1	ASM1337610v1	Arthrobacter wenxiniae	3906
GCF_000740775.1	ASM74077v1	Haematobacter missouriensis	3871
GCF_917563925.1	JJ-125	Sutcliffiella rhizosphaerae	4674
GCF_030270585.1	ASM3027058v1	Paralimibaculum aggregatum	5010
GCF_001436375.1	ASM143637v1	Agrilactobacillus composti DSM 18527 = JCM 14202	3394
GCF_003628445.1	ASM362844v1	Oceanobacillus bengalensis	3992
GCF_039536785.1	ASM3953678v1	Actinomadura miaoliensis	8749
GCF_019431455.1	ASM1943145v1	Paracoccus bogoriensis	3069
GCF_039533105.1	ASM3953310v1	Glycomyces rutgersensis	5231
GCF_003946175.1	ASM394617v1	Lacticaseibacillus suibinensis	2587
GCF_025567465.1	ASM2556746v1	Roseburia amylophila	2765
GCF_019710745.1	ASM1971074v1	Streptomyces beigongshangae	7851
GCF_016907015.1	ASM1690701v1	Oceanisphaera litoralis	3216
GCF_014837105.1	ASM1483710v1	Oceanitalea stevensii	3251
GCF_900106845.1	PRJEB14233	Romboutsia timonensis	3056
GCF_003851125.1	ASM385112v1	Sulfuriferula multivorans	3600
GCF_003096815.1	ASM309681v1	Hallella colorans	2447
GCF_013166515.1	ASM1316651v1	Xylanibacter caecicola	2570
GCF_014287815.1	ASM1428781v1	Clostridium lentum	2645
GCF_010211755.1	ASM1021175v1	Pseudoxanthomonas sangjuensis	3077
GCF_001895085.1	ASM189508v1	Mariprofundus micogutta	2470
GCF_022179525.1	ASM2217952v1	Methylobacterium persicinum	4929
GCF_017368795.1	ASM1736879v1	Arthrobacter cavernae	3872
GCF_000972175.1	CLC6_0_3	Pseudomonas syringae pv. coryli str. NCPPB 4273	5457
GCF_014904815.1	ASM1490481v1	Microbulbifer taiwanensis	4168
GCF_000521865.1	SOAPdenovo v1.05	Roseivivax isoporae LMG 25204	4811
GCF_033971885.1	ASM3397188v1	Absicoccus intestinalis	2325
GCF_007786445.1	ASM778644v1	Paenibacillus cremeus	7217
GCF_007859735.1	ASM785973v1	Thalassoglobus neptunius	5314
GCF_004361065.1	ASM436106v1	Cognatilysobacter terrigena	3144
GCF_900115975.1	IMG-taxon 2602042027 annotated assembly	Desulfoscipio geothermicus DSM 3669	3797
GCF_001434405.1	ASM143440v1	Ligilactobacillus apodemi DSM 16634 = JCM 16172	2115
GCF_001742425.1	ASM174242v1	Bacillus solimangrovi	3758
GCF_004348985.1	ASM434898v1	Saccharopolyspora elongata	9469
GCF_012910955.1	ASM1291095v1	Aromatoleum diolicum	4756
GCF_032714515.1	ASM3271451v1	Methanimicrococcus hacksteinii	1878
GCF_003731635.1	ASM373163v1	Alteromonas oceani	4517
GCF_016595435.1	ASM1659543v1	Luteolibacter pohnpeiensis	4227
GCF_001544515.1	ASM1544515v2	Caballeronia terrestris	8028
GCF_900156265.1	IMG-taxon 2681812815 annotated assembly	Acidiphilium rubrum	3812
GCF_009745975.1	ASM974597v1	Actinokineospora pegani	5852
GCF_030540835.1	ASM3054083v1	Flavivirga aquimarina	4479
GCF_022760955.1	ASM2276095v1	Thermus neutrinimicus	2215
GCF_016862515.1	ASM1686251v1	Asanoa iriomotensis	8215
GCF_016908935.1	ASM1690893v1	Sporolactobacillus spathodeae	2671
GCF_001940565.1	ASM194056v1	Tissierella creatinophila DSM 6911	2617
GCF_023336735.1	ASM2333673v1	Moraxella oculi	1904
GCF_014639255.1	ASM1463925v1	Pullulanibacillus pueri	4341
GCF_004402695.1	ASM440269v1	Cryobacterium adonitolivorans	3590
GCF_040096225.1	ASM4009622v1	Hominiventricola aquisgranensis	3172
GCF_012910905.1	ASM1291090v1	Aromatoleum toluvorans	4506
GCF_042684645.1	ASM4268464v1	Pedobacter alpinus	3598
GCF_006516965.1	ASM651696v1	Pararhizobium mangrovi	3672
GCF_004327335.1	ASM432733v1	Stutzerimonas kirkiae	3837
GCF_010667685.1	ASM1066768v1	Bifidobacterium aerophilum	2409
GCF_005406215.1	ASM540621v1	Campylobacter aviculae	1818
GCF_007992175.1	ASM799217v1	Methylobacterium haplocladii	4446
GCF_015627105.1	ASM1562710v1	Acinetobacter baretiae	2520
GCF_015594845.1	ASM1559484v1	Alkalibacter mobilis	2504
GCF_002204745.1	ASM220474v1	Hymenobacter amundsenii	4116
GCF_029533155.1	ASM2953315v1	Psychrobacillus antarcticus	4012
GCF_019049855.1	ASM1904985v1	Hydrogenophilus thiooxidans	2265
GCF_000745915.1	ASM74591v1	Deinococcus misasensis DSM 22328	4959
GCF_011682145.1	ASM1168214v1	Massilia mucilaginosa	7108
GCF_031845685.1	ASM3184568v1	Streptomyces edwardsiae	7344
GCF_021568805.1	ASM2156880v1	Dethiosulfovibrio acidaminovorans	2598
GCF_001315945.1	ASM131594v1	Methanogenium cariaci JCM 10550	3800
GCF_025567015.1	ASM2556701v1	Waltera acetigignens	3872
GCF_041224415.1	ASM4122441v1	Clostridium lapidicellarium	3166
GCF_002210435.1	ASM221043v1	Micromonospora wenchangensis	6615
GCF_014692495.1	ASM1469249v1	Sphingobacterium litopenaei	3413
GCF_004359545.1	ASM435954v1	Macrococcus lamae	2206
GCF_021568775.1	ASM2156877v1	Antribacter soli	4540
GCF_008728965.1	ASM872896v1	Heminiphilus faecis	2641
GCF_026183675.1	ASM2618367v1	Microbulbifer halophilus	3897
GCF_003575975.1	ASM357597v1	Galactobacter valiniphilus	3242
GCF_007845645.1	ASM784564v1	Leekyejoonella antrihumi	5066
GCF_013141715.1	ASM1314171v1	Paenibacillus phytorum	8004
GCF_900115085.1	IMG-taxon 2667527410 annotated assembly	Dokdonella immobilis	3957
GCF_042427585.1	ASM4242758v1	Mariniflexile ostreae	3244
GCF_016908635.1	ASM1690863v1	Sporohalobacter salinus	2695
GCF_022230955.1	ASM2223095v1	Micromonospora cabrerizensis	6299
GCF_029948085.1	ASM2994808v1	Streptococcus taonis	1960
GCF_943169845.1	ASM94316984v1	Peptoniphilus rachelemmaiella	1910
GCF_027604915.1	ASM2760491v1	Streptomonospora mangrovi	5546
GCF_017565705.1	ASM1756570v1	Leucobacter ruminantium	3084
GCF_013141825.1	ASM1314182v1	Marinifilum caeruleilacunae	4364
GCF_025567605.1	ASM2556760v1	Oscillibacter acetigenes	3306
GCF_001509495.1	ASM150949v1	Actinoplanes awajinensis subsp. mycoplanecinus	10450
GCF_027570195.1	ASM2757019v1	Corynebacterium yonathiae	2327
GCF_001559865.1	ASM155986v1	Abyssisolibacter fermentans	4279
GCF_039525925.1	ASM3952592v1	Streptomyces javensis	9618
GCF_003254575.1	ASM325457v1	Mycobacterium kyogaense	5597
GCF_014384995.1	ASM1438499v1	Zhenhengia yiwuensis	4123
GCF_000688515.1	ASM68851v1	Afifella pfennigii DSM 17143	3792
GCF_017874315.1	ASM1787431v1	Symbiobacterium terraclitae	3630
GCF_016862795.1	ASM1686279v1	Dactylosporangium siamense	11469
GCF_018476525.1	ASM1847652v1	Acrocarpospora catenulata	9239
GCF_000768335.1	ASM76833v1	Lysobacter arseniciresistens ZS79	2931
GCF_000949455.1	ASM94945v1	Ruthenibacterium lactatiformans	4020
GCF_013294015.1	ASM1329401v1	Frigoriflavimonas asaccharolytica	3225
GCF_014384885.1	ASM1438488v1	Ligaoa zhengdingensis	2799
GCF_009696465.1	ASM969646v1	Inconstantimicrobium porci	3251
GCF_001275135.1	ASM127513v1	Xylanibacter rarus	2906
GCF_000768355.1	ASM76835v1	Lysobacter daejeonensis GH1-9	3046
GCF_002250835.2	ASM225083v2	Romboutsia weinsteinii	4142
GCF_001605895.1	ASM160589v1	Acinetobacter pragensis	3644
GCF_000620065.1	ASM62006v1	Meiothermus cerbereus DSM 11376	2964
GCF_014287585.1	ASM1428758v1	Parabacteroides hominis	4199
GCF_002014825.1	ASM201482v1	Moraxella pluranimalium	2144
GCF_003946205.1	ASM394620v1	Companilactobacillus keshanensis	2291
GCF_003044065.1	ASM304406v1	Alkalicoccus saliphilus	3410
GCF_042432965.1	ASM4243296v1	Virgibacillus soli	3633
GCF_042429225.1	ASM4242922v1	Streptomyces thermocoprophilus	6210
GCF_018332695.1	ASM1833269v1	Paractinoplanes toevensis	10311
GCF_027980145.1	ASM2798014v1	Flavobacterium azizsancarii	5003
GCF_039531815.1	ASM3953181v1	Agrococcus versicolor	3224
GCF_008831035.1	ASM883103v1	Ellagibacter isourolithinifaciens	2189
GCF_002847505.1	ASM284750v1	Acidithiobacillus marinus	3019
GCF_004745955.1	ASM474595v1	Hymenobacter elongatus	4302
GCF_022836475.1	ASM2283647v1	Ligilactobacillus pabuli	2251
GCF_004343035.1	ASM434303v1	Longibaculum muris	3232
GCF_009687845.1	ASM968784v1	Acrocarpospora corrugata	8516
GCF_001545035.1	ASM154503v2	Caballeronia glebae	7442
